created_at,entry_id,field1,field2,field3,latitude,longitude,elevation,status
2023-04-15T22:05:19-04:00,186,15,40,N,,,,
2023-04-15T22:05:44-04:00,187,16,23,N,,,,
2023-04-15T22:06:44-04:00,188,17,57,N,,,,
2023-04-15T22:07:09-04:00,189,18,23,N,,,,
2023-04-15T22:07:55-04:00,190,19,43,N,,,,
2023-04-15T22:08:22-04:00,191,20,25,N,,,,
2023-04-15T22:09:03-04:00,192,21,38,N,,,,
2023-04-15T22:09:35-04:00,193,22,30,N,,,,
2023-04-15T22:10:19-04:00,194,23,42,N,,,,
2023-04-15T22:10:47-04:00,195,24,26,N,,,,
2023-04-15T22:11:28-04:00,196,25,38,N,,,,
2023-04-15T22:11:53-04:00,197,26,23,N,,,,
2023-04-15T22:12:40-04:00,198,27,45,N,,,,
2023-04-15T22:13:09-04:00,199,28,26,N,,,,
2023-04-15T22:13:52-04:00,200,29,41,N,,,,
2023-04-15T22:14:17-04:00,201,30,23,N,,,,
2023-04-15T22:14:57-04:00,202,31,38,N,,,,
2023-04-15T22:15:30-04:00,203,32,30,N,,,,
2023-04-15T22:16:36-04:00,204,33,63,N,,,,
2023-04-15T22:17:04-04:00,205,34,26,N,,,,
2023-04-15T22:17:45-04:00,206,35,38,N,,,,
2023-04-15T22:18:17-04:00,207,36,30,N,,,,
2023-04-15T22:19:01-04:00,208,37,42,N,,,,
2023-04-15T22:19:29-04:00,209,38,26,N,,,,
2023-04-15T22:20:09-04:00,210,39,38,N,,,,
2023-04-15T22:20:35-04:00,211,40,23,N,,,,
2023-04-15T22:21:21-04:00,212,41,44,N,,,,
2023-04-15T22:21:51-04:00,213,42,27,N,,,,
2023-04-15T22:22:34-04:00,214,43,41,N,,,,
2023-04-15T22:22:59-04:00,215,44,23,N,,,,
2023-04-15T22:23:44-04:00,216,45,42,N,,,,
2023-04-15T22:24:11-04:00,217,46,25,N,,,,
2023-04-15T22:24:57-04:00,218,47,44,N,,,,
2023-04-15T22:25:23-04:00,219,48,23,N,,,,
